,Player,TEAM,AGE,W,DEF RTG,DREB%,%DREB,STL,STL%,%BLK,OPP PTSOFF TOV,OPP PTS2ND CHANCE,OPP PTSFB,OPP PTSPAINT,DEFWS
420,De'Andre Hunter,ATL,23,12,105.9,12.5,17.8,0.8,21.3,16.7,9.2,8.5,8.1,28.8,0.131
421,Dennis Smith Jr.,DET,23,7,108.1,9.9,14.9,1.0,35.4,28.6,6.6,5.9,4.0,19.6,0.067
422,Ed Davis,MIN,32,5,109.0,23.5,32.7,0.6,23.2,34.2,4.3,3.3,3.4,11.5,0.044
423,Glenn Robinson III,SAC,27,9,122.5,9.4,14.5,0.2,7.1,6.8,7.4,5.9,5.0,19.3,-0.009
425,Trey Lyles,SAS,25,10,112.9,21.3,30.2,0.3,12.2,3.4,4.3,4.1,4.3,14.8,0.035
428,Josh Hall,OKC,20,2,113.9,15.1,20.8,0.2,9.1,2.9,6.8,3.9,4.6,15.4,0.033
430,Oshae Brissett,IND,23,10,111.0,14.9,22.9,0.9,19.4,29.4,8.5,8.3,9.1,31.8,0.073
434,Armoni Brooks,HOU,23,3,115.6,11.2,16.5,0.6,14.1,10.6,9.6,7.8,7.0,30.4,0.039
437,Freddie Gillespie,TOR,24,7,110.9,14.2,21.1,0.7,16.0,44.4,6.6,5.7,4.9,18.8,0.056
439,Jaylen Hoard,OKC,22,1,108.9,12.8,18.8,0.7,27.7,18.5,8.2,5.7,4.6,17.9,0.059
448,Romeo Langford,BOS,21,9,108.2,7.7,11.1,0.3,19.4,12.2,6.2,4.4,4.1,15.2,0.058
452,Jerome Robinson,WAS,24,5,113.1,10.5,15.3,0.7,30.8,27.3,7.8,5.5,4.9,16.1,0.04
455,Dewayne Dedmon,MIA,31,11,104.2,28.2,38.2,0.6,28.1,37.5,3.7,2.6,2.1,11.0,0.064
456,Rodney McGruder,DET,29,3,115.8,7.8,11.2,0.5,22.2,4.2,3.3,2.9,2.1,12.6,0.017
463,Jordan Bone,ORL,23,2,112.6,10.2,14.4,0.1,9.5,0.0,5.2,2.9,5.6,13.6,0.034
466,Donta Hall,ORL,23,3,104.5,19.3,28.6,0.4,17.2,41.7,4.5,3.2,4.2,14.5,0.067
467,Ignas Brazdeikis,ORL,22,3,114.6,12.9,18.7,0.3,12.1,10.3,6.8,4.9,4.8,21.4,0.035
468,Jabari Parker,BOS,26,4,106.1,18.0,26.9,0.1,5.0,25.0,4.8,3.4,4.2,13.1,0.054
470,Jalen Harris,TOR,22,3,107.8,9.1,12.7,0.6,20.5,0.0,3.9,2.8,4.5,11.5,0.051
471,Justin Patton,HOU,24,1,114.9,14.2,21.5,0.9,29.3,45.2,5.7,5.7,5.8,20.6,0.032
472,Matthew Dellavedova,CLE,30,4,111.9,8.5,12.1,0.3,12.5,5.0,5.4,3.8,4.2,17.4,0.045
473,Mike James,BKN,30,9,111.6,11.2,16.5,0.5,23.1,3.7,5.4,6.1,4.5,20.3,0.048
480,Jaren Jackson Jr.,MEM,21,4,118.0,16.4,24.7,1.1,35.3,39.1,9.6,7.4,6.2,22.5,0.018
484,Gabriel Deck,OKC,26,1,116.8,11.8,17.3,0.8,22.2,0.0,7.8,5.6,5.1,21.4,0.024
487,Thomas Bryant,WAS,23,2,115.7,16.3,23.0,0.4,9.1,33.3,10.2,6.2,6.7,27.0,0.04
489,Yogi Ferrell,LAC,28,4,107.1,9.5,15.2,0.7,29.2,18.8,4.3,4.1,2.4,14.4,0.055
490,Charlie Brown Jr.,OKC,24,1,113.0,9.1,13.6,0.4,18.2,16.7,6.1,3.8,3.1,19.1,0.039
