,Player,Team,FG%,3PM,3P%,FTM,FT%,STL,PF,TD3,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,TO Ratio,USG%,PACE,PIE,POSS,DEF RTG,%DREB,STL%,%BLK,OPPPTSOFFTOV,OPPPTSPAINT,DEFWS,%FGA2PT,%PTS2PT MR,%PTSFBPs,%PTSFT,%PTSOffTO,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST,C&SFGM,C&SFG%,C&S3P%,DFGA,DFG%,ContestedDREB%,DeferredDREB Chances,AdjustedDREB Chance%,AVG DREBDistance,DriveFGM,DriveFG%,DriveFTM,DriveFT%,DrivePTS%,DrivePASS,DrivePASS%,DriveAST,DriveAST%,DriveTOV%,DrivePF%,ContestedOREB%,DeferredOREB Chances,AdjustedOREB Chance%,AVG OREBDistance,PaintTouches,PaintTouch FGM,PaintTouch FTM,PaintTouch FT%,PaintTouch PTS%,PaintTouch PASS%,PaintTouch AST,PaintTouch AST%,PaintTouch TOV%,PaintTouch PF%,PassesMade,SecondaryAST,ASTToPass%,Pull UpFGM,Pull Up3PM,Pull Up3P%,AvgSpeedOff,AvgSpeedDef,Front CTTouches,AvgDribPerTouch,PTSPerTouch,PTSPerElbow Touch,PTSPerPost Touch,PostTouchFGM,PostTouchFTM,PostTouchFT%,PostTouchPASS%,PostTouchAST,PostTouchAST%,PostTouchTO,PostTouchTOV%,PostTouchPF%
305,Kira Lewis Jr.,NOP,38.6,0.7,33.3,0.8,84.3,0.7,1.6,0,0.8,19.1,3.65,24.0,1.2,6.4,6.6,17.6,102.61,6.4,1937.0,108.1,8.8,25.3,12.5,6.3,16.0,0.062,64.4,1.2,20.1,12.5,19.8,80.0,20.0,50.8,49.2,0.6,36.0,36.5,1.0,73.2,8.5,0.3,72.0,9.9,1.0,39.6,0.3,77.8,45.3,2.1,41.9,0.4,9.1,3.8,3.0,41.7,0.1,37.5,11.7,0.5,0.2,0.0,0.0,73.1,23.1,0.0,3.8,15.4,3.8,24.7,0.3,9.3,0.3,0.2,25.7,4.95,3.99,13.1,3.54,0.192,0.556,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
306,Deni Avdija,WAS,41.7,1.0,31.5,0.5,64.4,0.6,2.6,0,-2.1,6.4,1.91,14.8,1.7,18.1,7.7,11.8,106.28,6.0,2773.0,109.9,25.5,16.5,14.9,8.4,23.4,0.074,46.2,4.1,13.2,8.5,19.9,96.2,3.8,82.3,17.7,1.0,32.3,31.7,3.1,59.5,26.3,0.7,69.4,4.7,0.4,48.7,0.1,77.8,53.6,0.6,36.9,0.1,7.1,8.3,6.0,50.0,0.1,33.3,9.0,1.2,0.5,0.1,66.7,95.5,19.4,0.0,0.0,4.5,7.5,23.8,0.3,4.9,0.2,0.0,28.6,4.69,4.08,14.3,0.93,0.202,0.935,0.25,0.0,0.0,0.0,12.5,0.0,0.0,0.0,12.5,12.5
307,Tyus Jones,MEM,43.1,0.6,32.1,0.6,91.1,0.9,0.4,0,-2.8,30.5,5.4,35.0,1.6,9.3,6.5,16.5,101.08,11.3,2569.0,107.8,13.7,27.0,4.2,6.1,17.0,0.066,66.1,10.0,13.6,9.3,16.5,91.1,8.9,44.9,55.1,0.5,33.6,33.0,0.8,71.9,6.7,0.2,73.5,8.9,1.4,50.5,0.2,94.4,57.8,2.2,40.9,0.4,7.8,2.2,2.4,14.3,0.0,55.3,19.2,0.2,0.0,0.0,0.0,37.5,31.3,0.0,12.5,6.3,0.0,32.1,0.5,11.5,1.1,0.1,29.0,4.86,4.02,15.3,4.33,0.158,0.333,0.5,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0
308,Chimezie Metu,SAC,50.8,0.4,35.1,0.9,72.1,0.4,1.6,0,-7.8,8.0,0.97,10.9,6.4,17.5,11.3,19.4,103.51,8.3,1063.0,116.4,26.3,14.7,36.0,5.3,15.1,0.017,79.3,12.4,11.5,13.7,10.6,92.3,7.7,75.8,24.2,0.6,44.7,37.5,3.3,65.3,30.9,0.4,68.1,4.4,0.2,35.0,0.2,58.3,48.8,0.4,32.6,0.1,4.7,4.7,14.0,61.3,0.0,47.0,5.3,2.5,1.1,0.4,70.0,104.4,18.7,0.1,2.2,3.3,9.9,15.9,0.1,4.9,0.3,0.0,25.0,4.48,3.88,12.8,0.66,0.28,0.517,0.406,0.1,0.1,100.0,50.0,0.1,6.3,0.1,9.4,6.3
309,Aron Baynes,TOR,44.1,0.5,26.2,0.5,70.7,0.3,2.2,0,-4.4,7.0,1.02,11.4,8.2,19.2,11.1,15.7,101.31,7.0,2074.0,111.0,27.8,9.9,28.9,6.1,15.8,0.053,66.1,6.8,2.8,9.0,12.3,100.0,0.0,79.1,20.9,0.8,32.8,27.0,3.2,63.3,31.2,0.7,62.6,4.9,0.0,33.3,0.0,0.0,30.8,0.1,46.2,0.0,15.4,7.7,0.0,65.5,0.1,46.5,4.7,3.9,1.4,0.3,75.0,80.0,19.5,0.0,1.0,5.9,4.9,20.5,0.0,4.3,0.0,0.0,0.0,4.23,3.87,16.5,0.28,0.222,0.522,0.25,0.0,0.0,0.0,50.0,0.0,6.3,0.0,6.3,0.0
310,Jaylen Hoard,OKC,50.0,0.0,0.0,1.5,68.3,0.7,1.0,0,-9.1,11.0,1.41,16.2,6.1,12.8,11.5,15.6,104.6,9.3,697.0,108.9,18.8,27.7,18.5,8.2,17.9,0.059,87.5,1.7,9.5,24.1,15.5,0.0,0.0,63.6,36.4,0.2,27.3,0.0,1.4,70.4,22.7,0.6,66.7,5.1,0.8,46.9,0.3,41.7,62.1,0.7,22.4,0.2,5.2,6.9,10.3,57.1,0.0,43.8,5.8,2.7,0.9,0.4,80.0,86.5,34.6,0.2,5.8,7.7,9.6,17.2,0.1,7.3,0.0,0.0,0.0,5.01,4.16,13.8,1.03,0.253,1.167,0.125,0.0,0.1,50.0,75.0,0.0,0.0,0.1,12.5,12.5
311,Facundo Campazzo,DEN,38.1,1.2,35.2,1.2,87.9,1.2,2.0,0,2.8,21.5,3.18,35.3,1.5,8.1,11.1,12.8,99.09,7.4,2940.0,108.8,11.3,32.0,11.6,7.0,19.8,0.076,31.4,1.5,18.4,20.2,21.5,84.2,15.8,63.3,36.7,0.9,39.7,38.9,1.4,69.2,12.5,0.1,73.7,10.8,0.4,38.3,0.3,94.4,26.6,2.4,60.7,0.6,14.7,7.1,3.6,31.8,0.0,38.6,15.0,0.4,0.1,0.0,100.0,40.0,52.0,0.0,8.0,8.0,4.0,35.2,0.3,10.1,0.3,0.3,27.3,4.68,4.09,19.2,3.82,0.141,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,Max Strus,MIA,45.5,1.3,33.8,0.4,66.7,0.3,1.1,0,-4.2,7.4,3.0,10.5,1.1,7.3,3.5,17.9,98.32,7.2,1039.0,113.6,10.8,14.9,3.8,5.9,11.0,0.027,20.9,0.0,13.6,6.7,16.1,98.0,2.0,85.9,14.1,1.2,36.4,36.4,0.6,87.5,22.2,0.3,85.7,8.5,0.2,87.5,0.1,66.7,66.7,0.4,55.6,0.1,11.1,3.7,11.1,40.0,0.0,50.0,8.2,0.4,0.3,0.0,0.0,152.9,11.8,0.0,0.0,0.0,0.0,7.7,0.1,8.0,0.1,0.1,15.4,4.88,3.98,9.0,0.61,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
313,Dean Wade,CLE,43.1,1.2,36.6,0.5,76.9,0.6,1.2,0,-9.0,9.4,2.47,17.2,3.1,15.4,7.0,12.8,99.06,8.2,2503.0,111.9,22.2,17.9,21.4,7.1,20.6,0.049,31.5,3.2,10.9,8.0,17.3,97.4,2.6,85.8,14.2,1.2,37.1,36.8,2.8,68.0,28.2,0.4,67.6,5.7,0.1,39.1,0.0,100.0,23.3,0.9,65.1,0.2,12.8,7.0,1.2,65.8,0.0,43.2,5.9,1.4,0.5,0.1,80.0,80.2,37.2,0.0,3.5,4.7,3.5,23.3,0.2,5.0,0.1,0.0,25.0,4.56,3.99,16.7,0.54,0.203,0.25,0.471,0.0,0.0,100.0,52.9,0.0,5.9,0.0,0.0,5.9
314,Dwight Powell,DAL,61.9,0.1,23.8,1.7,78.2,0.6,2.3,0,4.0,9.0,1.58,17.8,8.6,15.8,11.3,12.9,99.87,9.9,2007.0,108.8,23.8,24.8,37.5,5.8,16.2,0.059,89.2,0.0,3.5,28.3,15.2,100.0,0.0,85.0,15.0,0.1,19.0,20.0,2.8,67.7,26.0,0.5,64.2,6.5,0.2,50.0,0.2,81.3,88.4,0.2,23.3,0.1,9.3,0.0,18.6,63.8,0.1,42.1,6.6,4.3,1.6,0.7,76.9,91.1,24.2,0.2,5.2,5.6,10.5,19.8,0.0,5.5,0.0,0.0,100.0,4.5,3.93,13.5,0.43,0.235,0.458,1.4,0.0,0.1,83.3,0.0,0.0,0.0,0.0,20.0,60.0
315,Drew Eubanks,SAS,56.6,0.0,100.0,1.4,72.6,0.3,1.6,0,-4.6,8.6,0.93,12.4,9.0,20.7,13.2,16.6,102.29,11.5,1599.0,108.2,30.4,17.6,53.3,4.2,15.0,0.052,99.0,7.1,2.3,24.8,15.1,100.0,0.0,77.6,22.4,0.2,64.7,100.0,3.4,50.8,32.3,0.7,67.9,4.1,0.1,37.5,0.0,50.0,53.8,0.1,23.1,0.0,0.0,7.7,7.7,63.5,0.1,44.3,5.9,3.8,1.5,0.7,75.0,97.5,19.6,0.1,2.5,5.4,10.8,16.5,0.0,4.7,0.0,0.0,0.0,4.62,4.07,13.1,0.48,0.26,0.548,0.564,0.1,0.1,66.7,41.0,0.1,7.7,0.0,0.0,15.4
316,DeAndre' Bembry,TOR,51.3,0.3,26.4,0.9,68.2,1.0,1.7,0,0.4,15.7,1.51,24.6,3.3,11.2,16.3,14.2,101.1,7.9,2046.0,107.7,16.8,29.6,15.9,6.1,16.7,0.073,76.8,0.7,21.8,15.4,20.1,92.9,7.1,62.4,37.6,0.2,25.0,26.7,1.3,64.1,23.0,0.3,68.5,6.9,0.8,50.6,0.3,75.0,46.8,1.9,46.8,0.6,15.3,7.9,4.9,57.6,0.1,44.6,6.8,1.9,0.6,0.2,68.8,81.4,32.0,0.1,6.2,5.2,8.2,25.6,0.2,8.2,0.1,0.0,25.0,4.59,3.94,16.3,2.55,0.176,0.767,0.222,0.0,0.0,0.0,55.6,0.0,11.1,0.0,11.1,0.0
317,Rodney McGruder,DET,52.9,0.7,45.8,0.4,75.0,0.5,0.8,0,-4.0,12.8,2.29,16.7,4.2,7.8,7.3,17.9,97.28,9.7,392.0,115.8,11.2,22.2,4.2,3.3,12.6,0.017,65.7,8.8,18.7,6.6,15.4,100.0,0.0,62.2,37.8,0.7,44.0,47.8,1.0,75.0,21.4,0.3,73.7,6.8,0.6,39.1,0.0,0.0,57.1,0.7,31.4,0.1,5.7,2.9,0.0,62.5,0.1,38.1,6.9,0.9,0.5,0.1,100.0,128.6,21.4,0.1,7.1,0.0,7.1,11.3,0.1,8.9,0.2,0.0,0.0,4.92,4.07,8.4,2.9,0.341,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Juan Toscano-Anderson,GSW,57.9,0.7,40.2,0.4,71.0,0.8,2.1,0,3.8,18.1,2.46,34.6,2.6,17.2,14.1,10.8,104.08,9.8,2404.0,105.6,24.8,20.7,24.3,7.3,21.0,0.092,56.0,1.3,16.9,7.3,21.9,97.3,2.7,86.0,14.0,0.7,45.1,43.8,3.1,66.7,25.2,0.7,68.0,4.9,0.4,60.6,0.1,66.7,51.7,0.8,46.0,0.2,9.2,12.6,3.4,41.4,0.0,32.2,12.0,1.7,0.6,0.1,75.0,76.4,34.8,0.1,7.9,6.7,4.5,37.1,0.4,7.6,0.0,0.0,20.0,4.96,4.04,21.9,1.09,0.132,0.574,0.138,0.0,0.0,0.0,82.8,0.2,27.6,0.1,10.3,0.0
319,Mychal Mulder,GSW,44.9,1.4,39.7,0.2,63.6,0.2,0.9,0,2.9,4.7,1.63,8.2,1.0,6.2,5.0,15.7,105.81,6.2,1695.0,108.4,9.4,9.0,13.8,4.3,13.2,0.046,19.2,0.0,14.5,4.1,13.6,100.0,0.0,97.5,2.5,1.3,38.1,38.1,1.2,67.6,9.6,0.3,69.3,8.4,0.2,58.3,0.1,50.0,66.0,0.3,31.9,0.0,0.0,6.4,6.4,50.0,0.0,66.7,12.5,0.4,0.1,0.1,75.0,73.1,30.8,0.0,0.0,19.2,7.7,6.7,0.1,6.5,0.2,0.2,56.3,4.76,4.13,9.6,0.82,0.479,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,Donta Hall,ORL,71.4,0.0,0.0,1.8,67.6,0.4,1.4,0,-6.5,10.2,1.38,15.9,12.6,19.3,11.6,13.5,103.1,14.5,388.0,104.5,28.6,17.2,41.7,4.5,14.5,0.067,100.0,0.0,12.3,31.5,13.7,0.0,0.0,72.0,28.0,0.1,50.0,0.0,3.6,57.4,47.4,0.8,67.9,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,58.5,4.8,4.4,1.5,1.0,72.2,94.7,31.6,0.2,5.3,1.8,15.8,14.2,0.0,6.0,0.0,0.0,0.0,4.7,4.16,9.8,0.39,0.297,0.52,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
321,Yogi Ferrell,LAC,35.1,0.9,32.1,0.7,77.8,0.7,1.1,0,-0.4,22.9,7.33,25.9,3.4,9.5,3.5,19.3,99.17,9.4,283.0,107.1,15.2,29.2,18.8,4.3,14.4,0.055,50.9,7.1,7.1,12.5,12.5,66.7,33.3,40.0,60.0,0.7,50.0,54.5,0.9,66.7,21.4,0.2,77.8,22.8,0.4,36.4,0.2,100.0,35.7,1.3,46.4,0.5,17.9,3.6,3.6,0.0,0.1,41.7,33.5,0.8,0.0,0.0,0.0,0.0,75.0,0.1,12.5,0.0,0.0,17.6,0.4,12.5,0.9,0.3,20.0,4.43,3.86,9.1,4.78,0.228,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Saben Lee,DET,47.1,0.2,34.8,1.3,68.5,0.7,1.6,0,-6.3,33.3,3.16,36.3,2.6,9.9,11.5,17.1,98.91,9.6,1614.0,111.7,14.5,27.4,16.5,5.6,17.1,0.043,89.0,2.2,15.4,22.8,25.5,100.0,0.0,40.4,59.6,0.2,53.3,53.3,1.4,72.3,11.7,0.3,73.3,7.6,1.0,41.9,0.9,75.4,29.4,6.0,59.5,1.5,14.6,6.2,5.8,30.0,0.0,40.0,12.6,0.9,0.4,0.1,75.0,93.3,26.7,0.0,0.0,4.4,4.4,29.1,0.2,12.4,0.1,0.0,0.0,4.72,4.32,12.1,5.9,0.147,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,Freddie Gillespie,TOR,52.4,0.0,0.0,1.2,69.7,0.7,2.2,0,-9.6,3.4,0.75,7.4,10.0,14.2,9.9,12.0,100.86,7.5,824.0,110.9,21.1,16.0,44.4,6.6,18.8,0.056,100.0,3.6,3.6,20.7,12.6,0.0,0.0,68.2,31.8,0.1,20.0,0.0,5.2,52.4,40.0,0.9,54.5,4.6,0.1,33.3,0.1,50.0,50.0,0.1,33.3,0.0,0.0,0.0,16.7,76.2,0.1,35.9,4.1,4.6,1.4,0.7,65.0,73.6,20.9,0.2,4.4,8.8,12.1,18.3,0.0,2.5,0.1,0.0,0.0,4.72,4.22,13.8,0.48,0.226,0.563,0.182,0.1,0.0,0.0,45.5,0.2,27.3,0.1,9.1,0.0
324,Anthony Lamb,HOU,39.0,1.0,32.4,0.8,85.7,0.3,1.4,0,-9.2,8.0,1.21,13.5,5.5,10.9,11.2,14.4,103.93,5.0,896.0,114.3,14.9,9.7,11.1,5.5,20.8,0.033,39.8,0.0,5.3,13.5,5.3,100.0,0.0,76.1,23.9,0.8,32.3,32.3,2.8,72.7,25.6,0.6,62.3,6.8,0.3,42.1,0.1,100.0,31.1,1.3,52.5,0.1,4.9,13.1,1.6,63.0,0.0,40.3,8.2,1.7,0.5,0.0,50.0,62.5,30.0,0.0,0.0,0.0,2.5,19.2,0.4,5.0,0.1,0.1,37.5,4.79,3.99,13.1,1.29,0.214,0.6,0.375,0.0,0.1,75.0,50.0,0.0,0.0,0.0,12.5,25.0
325,Jabari Parker,BOS,54.5,0.2,18.2,0.8,76.9,0.1,1.0,0,-5.5,10.5,1.1,13.4,5.6,18.0,12.2,17.5,100.23,11.7,348.0,106.1,26.9,5.0,25.0,4.8,13.1,0.054,80.0,16.7,8.3,13.9,8.3,100.0,0.0,66.7,33.3,0.4,38.5,25.0,2.0,69.2,21.9,0.3,56.1,5.9,0.4,71.4,0.1,50.0,85.7,0.4,35.7,0.2,14.3,7.1,7.1,40.0,0.1,50.0,5.7,1.8,0.7,0.5,87.5,108.7,17.4,0.0,0.0,4.3,17.4,15.1,0.1,5.6,0.2,0.0,0.0,4.78,3.93,10.3,1.01,0.265,0.667,0.545,0.2,0.2,100.0,36.4,0.1,9.1,0.3,36.4,9.1
326,Garrison Mathews,WAS,40.9,1.2,38.4,1.3,88.4,0.5,1.7,0,-5.6,3.2,2.6,8.4,1.5,6.5,3.2,11.1,106.43,5.2,2299.0,113.4,9.8,18.8,8.2,6.4,17.4,0.035,16.5,3.4,5.4,23.7,18.1,93.4,6.6,86.6,13.4,1.0,38.6,38.9,1.2,70.9,18.3,0.1,75.5,8.3,0.0,30.0,0.0,100.0,32.0,0.2,48.0,0.1,24.0,0.0,4.0,37.5,0.0,48.5,11.5,0.2,0.1,0.0,100.0,135.7,21.4,0.0,0.0,0.0,7.1,7.5,0.1,5.5,0.3,0.2,36.7,4.57,4.17,8.2,0.52,0.45,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Brad Wanamaker,CHA,38.5,0.3,18.8,1.5,89.1,0.7,1.5,0,-5.7,25.1,2.45,29.8,1.6,8.0,12.2,16.6,100.41,7.5,2201.0,107.1,11.9,24.7,10.6,5.9,16.7,0.069,71.6,8.9,19.9,26.8,12.8,68.8,31.3,56.5,43.5,0.2,22.0,22.4,1.6,77.3,19.5,0.2,64.4,10.8,0.9,49.1,0.4,88.5,51.4,2.0,43.8,0.5,12.0,6.5,4.7,61.1,0.1,27.7,11.3,0.5,0.2,0.2,100.0,93.9,21.2,0.0,9.1,9.1,15.2,28.7,0.3,9.9,0.4,0.1,14.3,4.61,3.75,17.3,3.56,0.15,0.667,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0
328,Devin Vassell,SAS,40.6,0.8,34.7,0.7,84.3,0.7,1.4,0,-2.4,7.1,2.55,14.0,2.1,13.8,5.5,13.8,102.37,7.1,2247.0,108.9,19.8,26.7,15.8,4.9,17.0,0.06,50.5,13.5,13.2,12.7,16.7,94.2,5.8,77.2,22.8,0.8,34.0,34.8,2.0,63.1,23.3,0.3,68.5,6.2,0.5,56.0,0.2,75.0,72.3,0.5,36.2,0.2,10.6,0.0,8.5,41.7,0.0,52.2,9.9,0.6,0.2,0.1,83.3,92.3,28.2,0.0,7.7,2.6,7.7,10.9,0.0,8.3,0.6,0.1,36.4,4.83,4.26,11.1,1.16,0.325,0.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Torrey Craig,PHX,48.0,0.8,36.8,0.3,77.3,0.6,1.7,0,-3.7,8.4,1.96,15.7,7.0,18.5,8.0,14.1,99.2,8.6,1645.0,114.7,26.7,23.5,37.5,4.9,16.0,0.029,53.3,7.3,9.1,6.2,17.9,97.4,2.6,71.6,28.4,0.7,35.4,34.4,1.5,58.1,25.0,0.5,74.9,6.0,0.3,46.9,0.1,83.3,53.8,0.4,32.3,0.1,7.7,10.8,4.6,68.4,0.1,41.9,7.0,1.7,0.7,0.1,83.3,86.9,28.6,0.0,2.4,4.8,2.4,14.6,0.0,6.7,0.3,0.1,54.5,4.65,4.17,10.2,0.98,0.27,0.111,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
330,Derrick Favors,UTA,63.8,0.0,0.0,0.9,73.8,0.5,2.1,0,2.6,5.9,1.22,12.3,13.0,22.7,10.1,12.5,101.18,11.1,2182.0,111.6,30.9,23.4,67.3,5.4,17.9,0.041,99.2,6.5,3.3,16.0,9.2,0.0,0.0,78.1,21.9,0.3,42.2,0.0,4.6,59.0,38.7,0.5,69.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0.2,52.3,5.0,4.8,1.8,0.5,75.0,85.2,29.2,0.3,5.2,6.2,6.2,11.2,0.1,5.8,0.0,0.0,0.0,4.41,4.0,11.0,0.27,0.339,0.845,0.444,0.0,0.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0
331,Justin Patton,HOU,41.4,0.7,26.5,0.2,75.0,0.9,2.6,0,-14.1,8.4,3.5,15.6,4.7,14.2,4.4,12.8,102.51,6.5,524.0,114.9,21.5,29.3,45.2,5.7,20.6,0.032,51.4,5.7,2.9,4.3,14.3,100.0,0.0,79.3,20.7,0.9,32.4,28.1,4.4,63.2,57.1,0.4,63.6,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,71.4,0.0,40.0,6.7,3.3,1.1,0.1,50.0,67.4,23.3,0.2,7.0,11.6,2.3,20.2,0.3,5.3,0.0,0.0,0.0,4.44,3.94,16.8,0.34,0.198,0.765,0.333,0.1,0.0,0.0,66.7,0.1,16.7,0.0,0.0,0.0
332,Tyler Johnson,BKN,39.3,1.2,36.4,0.5,85.7,0.4,1.1,0,3.3,9.1,2.76,18.3,0.9,9.6,6.6,13.2,100.58,5.9,1433.0,110.7,14.3,16.1,0.0,5.3,16.6,0.051,27.9,6.7,18.6,8.5,8.6,95.8,4.2,84.7,15.3,1.2,37.2,35.9,1.3,75.0,11.3,0.3,65.1,8.2,0.3,52.4,0.1,75.0,48.1,0.6,42.3,0.2,11.5,7.7,3.8,33.3,0.1,33.3,18.1,0.3,0.0,0.0,0.0,20.0,70.0,0.1,30.0,0.0,0.0,17.1,0.2,7.1,0.4,0.2,40.0,4.47,3.87,11.8,1.97,0.232,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Rajon Rondo,LAC,44.2,0.8,40.4,0.4,94.1,0.8,1.2,0,1.0,37.5,2.52,39.8,2.3,11.3,15.8,16.6,99.08,11.0,1591.0,106.8,17.5,28.0,6.9,5.9,16.0,0.07,58.6,5.0,9.5,6.6,15.7,63.9,36.1,32.6,67.4,0.4,37.2,38.1,0.9,69.0,12.0,0.3,67.2,8.1,1.0,48.4,0.2,91.7,38.8,2.7,46.8,0.6,9.9,9.1,2.3,44.4,0.0,50.0,12.3,0.4,0.1,0.0,0.0,40.0,50.0,0.1,15.0,10.0,0.0,35.0,0.3,12.6,0.5,0.4,39.0,4.15,3.61,16.1,4.43,0.124,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Jarred Vanderbilt,MIN,60.6,0.0,20.0,0.9,55.9,1.0,1.9,0,-1.1,9.1,1.43,18.6,9.6,21.1,13.0,11.8,103.75,10.7,2451.0,109.2,31.8,29.0,30.7,6.6,18.8,0.061,97.9,0.0,21.8,16.5,25.9,100.0,0.0,71.3,28.7,0.0,25.0,33.3,3.5,59.0,27.2,0.5,69.6,4.7,0.1,31.6,0.0,50.0,37.8,0.2,40.5,0.1,16.2,5.4,2.7,69.5,0.2,40.3,5.7,4.7,1.6,0.4,54.3,76.2,28.1,0.3,6.6,9.2,7.6,20.2,0.1,5.9,0.0,0.0,0.0,4.9,4.17,12.0,0.68,0.207,0.512,0.2,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0
335,Jahlil Okafor,DET,61.8,0.1,22.2,0.6,70.8,0.2,1.4,0,-10.2,6.6,0.62,8.8,7.0,11.9,14.3,17.0,99.74,8.9,717.0,108.7,16.7,13.0,16.1,5.4,14.4,0.046,91.2,5.5,3.4,11.8,10.3,100.0,0.0,49.2,50.8,0.1,25.0,33.3,3.0,68.3,34.9,0.4,52.4,5.1,0.1,50.0,0.0,25.0,77.8,0.0,11.1,0.0,0.0,0.0,22.2,87.0,0.0,33.3,4.3,2.8,1.1,0.2,75.0,88.0,26.7,0.1,4.0,4.0,5.3,14.9,0.0,3.2,0.1,0.0,0.0,4.25,4.0,11.5,0.74,0.27,0.4,0.736,0.6,0.3,70.0,34.0,0.1,3.8,0.2,9.4,9.4
336,Josh Okogie,MIN,40.2,0.5,26.9,1.4,76.9,0.9,2.1,0,-6.6,7.2,1.47,15.5,4.8,7.9,10.6,11.9,102.94,4.5,2556.0,114.3,11.8,23.7,20.7,7.1,21.4,0.038,57.5,0.6,14.9,26.3,19.6,100.0,0.0,71.6,28.4,0.4,26.3,26.1,1.8,71.2,25.8,0.1,62.0,8.7,0.2,26.1,0.3,76.9,34.9,0.8,38.9,0.2,9.5,11.9,10.3,65.1,0.1,48.8,6.9,1.8,0.6,0.5,79.4,89.9,30.3,0.1,2.8,7.3,14.7,13.5,0.2,7.9,0.1,0.1,33.3,4.35,4.24,13.5,1.22,0.271,0.645,0.714,0.0,0.0,50.0,42.9,0.0,0.0,0.0,14.3,14.3
337,Taj Gibson,NYK,62.7,0.1,20.0,0.9,72.7,0.7,2.2,0,7.3,5.4,1.64,14.9,10.2,15.1,9.1,9.5,97.67,9.5,1899.0,103.1,21.4,23.3,57.0,5.5,17.8,0.108,90.5,7.5,1.7,16.6,10.8,100.0,0.0,61.6,38.4,0.2,32.1,21.4,3.6,59.9,35.8,0.8,62.4,5.6,0.0,50.0,0.0,0.0,66.7,0.0,33.3,0.0,33.3,0.0,0.0,68.7,0.1,49.7,5.6,4.5,1.6,0.7,75.0,84.7,31.0,0.2,3.4,5.9,8.4,19.2,0.1,4.2,0.0,0.0,0.0,4.29,3.96,10.8,0.47,0.222,0.548,0.875,0.2,0.0,50.0,29.2,0.0,8.3,0.0,8.3,4.2
338,Tony Snell,ATL,51.5,1.3,56.9,0.2,100.0,0.3,1.6,0,2.2,8.0,2.81,23.1,1.9,9.0,8.2,8.4,98.85,6.0,2051.0,111.6,12.9,8.8,11.1,7.0,20.9,0.055,36.3,6.4,9.6,4.4,8.8,98.4,1.6,88.6,11.4,1.3,57.3,59.2,1.7,67.9,16.0,0.3,67.1,7.9,0.3,38.7,0.1,100.0,29.9,1.1,55.7,0.3,15.5,6.2,2.1,16.7,0.0,40.9,16.6,0.3,0.1,0.0,0.0,46.2,30.8,0.0,7.7,7.7,0.0,15.2,0.1,8.3,0.1,0.0,0.0,4.17,3.81,12.4,0.99,0.267,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,Jarrett Culver,MIN,41.1,0.4,24.5,0.9,60.4,0.5,1.7,0,-10.7,7.9,0.86,9.9,5.9,13.2,11.5,17.9,103.72,5.7,1071.0,109.7,19.6,17.7,14.8,5.3,13.8,0.048,68.5,1.1,12.2,16.1,18.3,100.0,0.0,66.7,33.3,0.4,28.6,28.6,1.2,71.4,30.0,0.4,72.9,6.6,0.8,44.3,0.3,50.0,52.4,1.2,33.1,0.2,5.6,5.6,8.1,55.9,0.0,52.3,9.1,1.5,0.4,0.1,66.7,68.6,27.5,0.0,2.0,5.9,3.9,12.7,0.2,5.6,0.1,0.0,10.0,4.65,4.06,11.7,1.75,0.265,0.6,0.667,0.0,0.1,100.0,33.3,0.0,0.0,0.0,0.0,33.3
