,Player,TEAM,AGE,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
45,Terry Rozier,CHA,27,69,32,37,34.5,49.6,50.4,40.9,7.5,47.3,16.5,11.8,16.6,33.4,40.3,59.7,82.9,17.1,58.8,41.2
46,Derrick Favors,UTA,29,68,49,19,15.3,99.2,0.8,84.0,6.5,0.0,3.3,16.0,9.2,77.5,78.1,21.9,0.0,0.0,78.1,21.9
47,Desmond Bane,MEM,23,68,36,32,22.3,45.7,54.3,37.4,6.1,56.2,19.5,6.4,19.4,31.4,70.9,29.1,93.2,6.8,82.1,17.9
48,Isaiah Stewart,DET,20,68,20,48,21.4,84.6,15.4,76.4,5.2,11.7,4.7,11.9,15.6,71.1,65.9,34.1,100.0,0.0,69.0,31.0
49,Jalen Brunson,DAL,24,68,40,28,25.0,68.1,31.9,57.6,12.1,28.4,12.4,14.0,13.2,45.5,23.5,76.5,86.4,13.6,39.0,61.0
50,Jeff Green,BKN,34,68,44,24,27.0,52.8,47.2,42.1,3.7,41.2,13.1,16.7,14.3,38.4,72.8,27.2,95.1,4.9,81.6,18.4
51,Jordan Clarkson,UTA,29,68,49,19,26.7,44.3,55.7,39.8,2.6,49.9,12.1,10.3,13.3,37.3,16.5,83.5,63.0,37.0,37.6,62.4
52,Khris Middleton,MIL,29,68,45,23,33.4,66.0,34.0,52.0,21.2,32.7,9.2,15.3,11.2,30.8,33.3,66.7,64.9,35.1,42.7,57.3
53,Kyle Kuzma,LAL,25,68,40,28,28.7,49.8,50.2,45.3,6.2,47.0,16.2,7.7,16.5,39.1,54.5,45.5,92.7,7.3,70.1,29.9
54,Patty Mills,SAS,32,68,31,37,24.8,29.8,70.2,24.7,9.5,65.6,13.2,9.7,12.9,15.2,54.9,45.1,78.3,21.7,69.8,30.2
55,Ricky Rubio,MIN,30,68,23,45,26.1,57.0,43.0,43.6,7.9,34.0,9.8,22.4,13.9,35.7,39.4,60.6,93.9,6.1,58.0,42.0
56,Thaddeus Young,CHI,33,68,30,38,24.3,93.2,6.8,87.0,1.7,4.4,7.4,8.6,14.3,85.3,57.0,43.0,100.0,0.0,58.4,41.6
57,Damian Lillard,POR,30,67,39,28,35.8,47.2,52.8,33.9,7.5,42.8,8.4,23.3,12.0,26.5,17.7,82.3,39.3,60.7,27.6,72.4
58,Dejounte Murray,SAS,24,67,32,35,31.9,79.6,20.4,71.9,26.1,18.0,15.6,10.1,14.9,45.9,27.5,72.5,85.7,14.3,35.8,64.2
59,Devin Booker,PHX,24,67,48,19,33.9,71.2,28.8,58.1,19.7,22.1,13.9,19.8,13.4,38.3,39.4,60.6,65.9,34.1,44.8,55.2
60,Dillon Brooks,MEM,25,67,36,31,29.8,63.9,36.1,52.8,15.6,33.4,18.2,13.8,16.3,37.2,51.3,48.7,86.7,13.3,61.8,38.2
61,Isaac Okoro,CLE,20,67,20,47,32.4,61.7,38.3,53.6,0.9,28.8,18.7,17.6,13.3,52.6,65.9,34.1,87.1,12.9,71.5,28.5
62,Joe Ingles,UTA,33,67,47,20,27.9,27.8,72.2,22.7,0.5,67.9,13.5,9.4,13.5,22.2,31.5,68.5,71.6,28.4,58.2,41.8
63,Kent Bazemore,GSW,31,67,35,32,19.9,53.1,46.9,42.0,5.0,46.8,19.5,11.2,14.8,37.0,62.4,37.6,90.7,9.3,74.4,25.6
64,Kentavious Caldwell-Pope,LAL,28,67,39,28,28.4,42.1,57.9,30.0,7.0,55.1,21.3,14.9,20.7,23.0,81.6,18.4,95.0,5.0,89.0,11.0
65,Khem Birch,TOR,28,67,23,44,22.8,86.3,13.7,73.0,7.5,8.1,7.9,18.9,19.3,65.6,76.1,23.9,100.0,0.0,77.8,22.2
66,Nicolas Batum,LAC,32,67,44,23,27.4,34.0,66.0,30.0,8.5,61.1,11.1,8.9,15.9,21.5,77.8,22.2,99.1,0.9,90.1,9.9
67,Reggie Jackson,LAC,31,67,43,24,23.0,51.8,48.2,39.4,8.1,51.2,11.9,9.4,14.0,31.3,26.2,73.8,84.4,15.6,53.2,46.8
68,Terance Mann,LAC,24,67,45,22,18.9,74.0,26.0,59.3,4.7,24.2,18.9,16.5,13.6,54.7,50.7,49.3,84.2,15.8,57.9,42.1
69,Aaron Holiday,IND,24,66,30,36,17.8,58.3,41.7,43.4,7.6,42.3,18.5,14.3,16.0,35.8,45.6,54.4,92.5,7.5,64.1,35.9
70,Bismack Biyombo,CHA,28,66,28,38,20.4,99.6,0.4,85.8,0.0,0.0,7.3,14.2,17.2,85.8,87.3,12.7,0.0,0.0,87.3,12.7
71,Bobby Portis,MIL,26,66,44,22,20.8,73.7,26.3,63.4,15.6,29.4,9.0,7.2,16.0,47.7,53.6,46.4,100.0,0.0,64.5,35.5
72,Donte DiVincenzo,MIL,24,66,44,22,27.5,42.6,57.4,35.5,4.1,57.1,16.4,7.4,15.7,31.4,53.3,46.7,77.9,22.1,66.0,34.0
73,Doug McDermott,IND,29,66,32,34,24.5,57.0,43.0,54.1,1.6,37.0,13.7,8.9,14.9,52.5,77.4,22.6,100.0,0.0,84.5,15.5
74,Kenrich Williams,OKC,26,66,21,45,21.6,71.5,28.5,63.5,9.5,29.7,14.3,6.8,19.4,54.0,47.3,52.7,90.4,9.6,57.5,42.5
75,Lou Williams,ATL,34,66,44,22,21.6,73.2,26.8,52.3,17.4,27.6,7.6,20.1,14.3,35.0,27.6,72.4,58.0,42.0,35.5,64.5
76,Luka Doncic,DAL,22,66,40,26,34.3,59.4,40.6,49.7,9.7,31.5,5.5,18.8,10.8,40.0,9.5,90.5,23.4,76.6,13.6,86.4
77,Miles Bridges,CHA,23,66,31,35,29.3,53.4,46.6,46.9,1.7,41.4,11.9,11.7,15.4,45.2,71.6,28.4,81.9,18.1,75.4,24.6
78,Payton Pritchard,BOS,23,66,33,33,19.2,40.7,59.3,32.2,5.5,60.0,11.8,7.8,16.5,26.7,37.8,62.2,84.3,15.7,63.6,36.4
79,Svi Mykhailiuk,OKC,24,66,13,53,20.1,37.9,62.1,36.9,6.8,56.4,16.6,6.7,17.7,30.1,56.3,43.7,88.6,11.4,72.6,27.4
80,Bruce Brown,BKN,24,65,45,20,22.3,86.1,13.9,76.1,1.4,8.9,19.4,15.0,16.6,74.7,75.2,24.8,100.0,0.0,77.0,23.0
81,Daniel Theis,CHI,29,65,28,37,24.6,67.4,32.6,64.8,11.2,23.4,5.6,11.8,12.4,53.6,81.8,18.2,100.0,0.0,85.3,14.7
82,Facundo Campazzo,DEN,30,65,43,22,21.9,31.4,68.6,22.2,1.5,57.6,18.4,20.2,21.5,20.7,27.3,72.7,84.2,15.8,63.3,36.7
83,Matisse Thybulle,PHI,24,65,46,19,20.0,41.2,58.8,46.3,0.8,50.6,24.7,3.1,23.1,45.5,66.1,33.9,100.0,0.0,80.4,19.6
84,Reggie Bullock,NYK,30,65,38,27,30.0,29.1,70.9,24.0,9.9,69.0,18.9,7.0,15.2,14.1,85.9,14.1,97.5,2.5,93.5,6.5
85,Russell Westbrook,WAS,32,65,30,35,36.4,77.9,22.1,63.4,20.8,17.9,12.0,18.7,16.4,42.6,16.4,83.6,62.8,37.2,23.7,76.3
86,Talen Horton-Tucker,LAL,20,65,39,26,20.1,73.2,26.8,63.9,4.1,19.0,13.2,17.1,18.5,59.8,34.8,65.2,73.0,27.0,41.1,58.9
87,Theo Maledon,OKC,20,65,20,45,27.3,49.0,51.0,36.8,6.1,47.9,7.8,15.3,9.7,30.7,33.1,66.9,78.1,21.9,54.0,46.0
88,Alex Len,WAS,28,64,30,34,15.3,91.0,9.0,77.1,0.9,5.7,7.1,17.2,14.2,76.1,75.5,24.5,100.0,0.0,76.6,23.4
89,Anfernee Simons,POR,22,64,37,27,17.3,29.7,70.3,19.1,6.8,71.7,8.8,9.2,8.0,12.4,12.5,87.5,68.3,31.7,52.4,47.6
90,Bam Adebayo,MIA,23,64,34,30,33.5,99.0,1.0,75.9,12.0,0.5,6.3,23.6,15.0,63.8,65.6,34.4,100.0,0.0,65.8,34.2
91,Garrison Mathews,WAS,24,64,32,32,16.2,16.5,83.5,11.9,3.4,64.4,5.4,23.7,18.1,8.5,61.9,38.1,93.4,6.6,86.6,13.4
92,Immanuel Quickley,NYK,22,64,37,27,19.4,47.8,52.2,30.4,6.6,48.4,6.8,21.2,16.0,23.8,19.8,80.2,61.0,39.0,41.0,59.0
93,Jarred Vanderbilt,MIN,22,64,18,46,17.8,97.9,2.1,82.6,0.0,0.9,21.8,16.5,25.9,82.6,71.1,28.9,100.0,0.0,71.3,28.7
94,Jayson Tatum,BOS,23,64,34,30,35.8,63.2,36.8,49.4,11.9,33.2,9.9,17.4,18.9,37.5,38.3,61.7,46.5,53.5,40.8,59.2
95,Nerlens Noel,NYK,27,64,35,29,24.2,98.7,1.3,84.6,4.3,0.0,3.7,15.4,16.4,80.2,73.7,26.3,0.0,0.0,73.7,26.3
96,P.J. Washington,CHA,22,64,31,33,30.5,57.7,42.3,46.1,1.9,40.8,8.0,13.1,12.5,44.2,80.5,19.5,94.6,5.4,85.8,14.2
97,Raul Neto,WAS,29,64,30,34,21.9,63.3,36.7,52.1,6.1,34.5,12.0,13.4,16.9,46.0,42.1,57.9,93.8,6.3,57.9,42.1
98,Andre Iguodala,MIA,37,63,37,26,21.3,26.6,73.4,25.5,2.2,65.5,6.2,9.0,15.3,23.3,80.0,20.0,93.3,6.7,88.4,11.6
99,Clint Capela,ATL,27,63,34,29,30.1,100.0,0.0,86.4,0.2,0.0,8.7,13.6,12.1,86.2,66.8,33.2,0.0,0.0,66.8,33.2
100,Cory Joseph,DET,29,63,25,38,23.0,69.0,31.0,60.0,9.3,26.1,8.9,13.9,15.3,50.7,33.5,66.5,88.9,11.1,46.0,54.0
101,Dean Wade,CLE,24,63,19,44,19.2,31.5,68.5,29.8,3.2,62.2,10.9,8.0,17.3,26.6,69.6,30.4,97.4,2.6,85.8,14.2
102,Delon Wright,SAC,29,63,21,42,27.7,66.8,33.2,54.6,2.2,29.8,11.6,15.6,20.9,52.4,30.1,69.9,78.1,21.9,42.9,57.1
103,Draymond Green,GSW,31,63,35,28,31.5,66.8,33.2,61.3,3.6,23.0,12.8,15.7,16.7,57.7,61.8,38.2,97.1,2.9,68.8,31.2
104,Elfrid Payton,NYK,27,63,36,27,23.6,84.2,15.8,75.4,5.9,13.1,6.7,11.5,13.0,69.5,27.0,73.0,96.4,3.6,34.2,65.8
105,Grant Williams,BOS,22,63,30,33,18.1,47.8,52.2,40.8,3.4,49.0,5.4,10.2,19.4,37.4,68.3,31.7,100.0,0.0,82.4,17.6
106,Ja Morant,MEM,21,63,33,30,32.6,74.8,25.2,59.3,4.0,18.2,15.0,22.5,16.5,55.3,29.4,70.6,60.3,39.7,34.7,65.3
107,Jaden McDaniels,MIN,20,63,18,45,24.0,46.0,54.0,43.1,4.2,50.6,9.8,6.3,18.3,38.9,70.7,29.3,97.2,2.8,82.3,17.7
108,Jarrett Allen,CLE,23,63,20,43,29.6,96.1,3.9,72.5,2.5,2.2,2.2,25.3,9.4,70.0,72.3,27.7,100.0,0.0,72.8,27.2
109,John Collins,ATL,23,63,34,29,29.3,73.0,27.0,62.3,9.9,22.4,6.9,15.3,9.8,52.4,72.3,27.7,98.8,1.2,77.4,22.6
110,Luke Kennard,LAC,25,63,44,19,19.6,45.9,54.1,37.3,14.6,57.7,10.4,5.0,12.3,22.7,66.0,34.0,80.0,20.0,73.1,26.9
111,Rudy Gay,SAS,34,63,29,34,21.6,55.7,44.3,44.1,16.8,44.4,9.1,11.5,15.9,27.4,40.5,59.5,89.6,10.4,60.2,39.8
112,Shake Milton,PHI,24,63,46,17,23.2,69.6,30.4,56.1,15.2,26.1,9.8,17.8,15.2,40.9,36.2,63.8,80.3,19.7,46.7,53.3
113,Stephen Curry,GSW,33,63,37,26,34.2,41.3,58.7,31.9,6.6,50.2,11.4,17.9,14.5,25.3,41.1,58.9,58.8,41.2,50.2,49.8
114,Trae Young,ATL,22,63,36,27,33.7,64.3,35.7,44.0,7.7,25.6,8.4,30.4,11.2,36.4,12.5,87.5,28.7,71.3,17.0,83.0
115,Denzel Valentine,CHI,27,62,26,36,16.7,41.8,58.2,36.9,8.9,59.1,14.0,4.0,14.3,28.1,40.0,60.0,90.0,10.0,65.8,34.2
116,Devin Vassell,SAS,20,62,30,32,17.0,50.5,49.5,41.6,13.5,45.7,13.2,12.7,16.7,28.2,64.8,35.2,94.2,5.8,77.2,22.8
117,Domantas Sabonis,IND,25,62,29,33,36.0,82.1,17.9,68.6,4.4,12.4,9.0,19.0,15.2,64.1,60.6,39.4,96.2,3.8,64.5,35.5
118,Jonas Valanciunas,MEM,29,62,32,30,28.3,92.3,7.7,79.2,4.5,6.0,2.3,14.8,11.6,74.7,58.0,42.0,85.7,14.3,59.3,40.7
119,Josh Jackson,DET,24,62,16,46,25.2,63.6,36.4,52.9,9.7,27.9,13.3,19.2,17.1,43.2,45.7,54.3,92.2,7.8,57.8,42.2
121,Tobias Harris,PHI,28,62,44,18,32.5,77.5,22.5,64.6,12.6,20.3,14.5,15.1,14.1,52.1,35.8,64.2,81.7,18.3,43.8,56.2
122,Trey Burke,DAL,28,62,35,27,14.7,53.5,46.5,45.3,20.9,42.3,13.6,12.4,15.3,24.3,31.2,68.8,89.7,10.3,53.6,46.4
123,Brad Wanamaker,CHA,31,61,29,32,17.3,71.6,28.4,58.9,8.9,14.3,19.9,26.8,12.8,50.0,54.5,45.5,68.8,31.3,56.5,43.5
124,Brandon Ingram,NOP,23,61,29,32,34.3,65.9,34.1,51.0,23.4,29.6,8.3,19.4,10.9,27.6,36.8,63.2,79.0,21.0,48.5,51.5
125,DeMar DeRozan,SAS,31,61,27,34,33.7,92.0,8.0,66.3,23.7,4.3,7.6,29.4,12.7,42.6,24.8,75.2,94.7,5.3,27.7,72.3
126,Dennis Schroder,LAL,27,61,38,23,32.1,72.1,27.9,55.5,15.5,22.6,7.4,21.9,12.1,40.0,31.8,68.2,88.7,11.3,44.0,56.0
127,Giannis Antetokounmpo,MIL,26,61,40,21,33.0,79.9,20.1,65.1,5.9,11.7,16.6,23.2,14.7,59.2,42.8,57.2,29.9,70.1,41.4,58.6
128,Isaiah Roby,OKC,23,61,19,42,23.4,74.6,25.4,65.7,2.3,18.0,9.4,16.3,13.9,63.4,55.4,44.6,90.6,9.4,60.9,39.1
129,Kevon Looney,GSW,25,61,34,27,19.0,91.4,8.6,82.9,8.0,4.8,0.8,12.3,16.3,74.9,63.5,36.5,100.0,0.0,64.8,35.2
130,Landry Shamet,BKN,24,61,39,22,23.0,27.0,73.0,20.1,4.6,68.3,12.2,11.6,14.3,15.5,64.9,35.1,98.4,1.6,88.2,11.8
131,Markieff Morris,LAL,31,61,32,29,19.7,44.7,55.3,43.2,11.8,47.9,8.4,8.9,13.0,31.4,54.5,45.5,100.0,0.0,73.9,26.1
132,Michael Porter Jr.,DEN,23,61,40,21,31.3,53.2,46.8,47.0,9.8,43.9,16.4,9.1,15.8,37.2,71.4,28.6,91.8,8.2,79.2,20.8
133,Precious Achiuwa,MIA,21,61,31,30,12.1,99.6,0.4,81.6,0.7,0.0,9.9,18.4,18.1,80.9,73.4,26.6,0.0,0.0,73.4,26.6
134,Richaun Holmes,SAC,27,61,29,32,29.2,98.1,1.9,83.8,10.1,0.7,5.6,15.5,11.7,73.6,81.6,18.4,100.0,0.0,81.7,18.3
135,Stanley Johnson,TOR,25,61,25,36,16.5,41.2,58.8,33.0,3.0,50.6,10.9,16.4,20.6,30.0,31.8,68.2,95.6,4.4,64.0,36.0
136,Terence Davis,SAC,24,61,26,35,17.6,41.4,58.6,36.4,2.6,55.2,19.1,8.4,18.0,33.8,50.5,49.5,82.7,17.3,66.7,33.3
137,Tyrese Maxey,PHI,20,61,41,20,15.3,76.0,24.0,68.4,16.4,19.1,17.6,12.5,18.2,52.0,38.3,61.7,80.6,19.4,44.9,55.1
138,Zion Williamson,NOP,20,61,29,32,33.2,96.7,3.3,75.8,0.7,1.8,9.8,22.4,13.5,75.0,55.3,44.7,100.0,0.0,56.0,44.0
139,Bradley Beal,WAS,28,60,32,28,35.8,73.0,27.0,57.5,16.8,20.8,7.1,21.7,13.5,40.7,43.0,57.0,72.3,27.7,48.7,51.3
140,Cameron Johnson,PHX,25,60,43,17,24.0,30.6,69.4,30.0,5.6,61.3,16.2,8.7,14.3,24.4,83.7,16.3,98.3,1.7,92.1,7.9
141,Cameron Payne,PHX,26,60,42,18,18.0,58.0,42.0,46.7,9.9,43.4,9.9,9.9,10.7,36.8,28.0,72.0,68.5,31.5,43.5,56.5
142,Chris Boucher,TOR,28,60,25,35,24.2,58.0,42.0,48.4,2.2,33.0,6.1,18.6,14.1,46.2,68.7,31.3,97.8,2.2,77.8,22.2
143,Collin Sexton,CLE,22,60,18,42,35.3,76.1,23.9,58.5,7.7,20.1,12.9,21.4,16.0,50.8,42.2,57.8,68.4,31.6,47.0,53.0
144,Dorian Finney-Smith,DAL,28,60,36,24,32.0,35.2,64.8,34.2,0.7,60.5,10.8,5.3,13.4,33.6,61.4,38.6,96.6,3.4,80.5,19.5
145,Jae Crowder,PHX,30,60,42,18,27.5,22.8,77.2,16.9,5.6,73.6,8.5,9.5,12.8,11.3,80.4,19.6,95.9,4.1,92.0,8.0
146,Jaxson Hayes,NOP,21,60,24,36,16.1,95.0,5.0,75.3,3.1,4.0,15.6,20.7,18.0,72.2,76.3,23.7,100.0,0.0,77.1,22.9
148,Lonnie Walker IV,SAS,22,60,28,32,25.4,53.7,46.3,46.6,12.0,44.8,16.3,8.6,13.5,34.7,54.5,45.5,90.0,10.0,68.4,31.6
149,Mychal Mulder,GSW,27,60,33,27,12.8,19.2,80.8,20.2,0.0,75.7,14.5,4.1,13.6,20.2,91.2,8.8,100.0,0.0,97.5,2.5
150,Brandon Clarke,MEM,24,59,32,27,24.0,84.4,15.6,77.4,3.3,9.8,14.8,12.8,16.9,74.1,81.4,18.6,100.0,0.0,82.8,17.2
151,Cedi Osman,CLE,26,59,17,42,25.6,44.7,55.3,39.2,3.6,48.5,16.3,12.3,20.9,35.6,61.7,38.3,85.9,14.1,72.6,27.4
152,Josh Okogie,MIN,22,59,21,38,20.3,57.5,42.5,46.2,0.6,27.5,14.9,26.3,19.6,45.6,60.3,39.7,100.0,0.0,71.6,28.4
153,Josh Richardson,DAL,27,59,35,24,30.3,56.8,43.2,49.2,12.3,36.9,12.3,13.9,14.3,36.9,44.3,55.7,83.0,17.0,57.2,42.8
154,Jrue Holiday,MIL,31,59,41,18,32.3,65.6,34.4,57.9,8.6,31.8,11.9,10.3,14.1,49.3,33.0,67.0,54.1,45.9,38.6,61.4
155,Xavier Tillman,MEM,22,59,31,28,18.4,78.3,21.7,74.4,3.6,16.9,13.1,8.7,20.3,70.8,82.8,17.2,100.0,0.0,85.0,15.0
156,Alex Caruso,LAL,27,58,32,26,21.0,55.1,44.9,42.2,4.3,44.6,17.3,13.2,16.2,37.8,48.7,51.3,92.7,7.3,66.9,33.1
157,Ben Simmons,PHI,24,58,42,16,32.4,98.3,1.7,77.7,1.7,1.1,22.9,21.2,19.1,76.0,40.7,59.3,100.0,0.0,41.2,58.8
