,Player,TEAM,AGE,GP,W,L,MIN,%FGA2PT,%FGA3PT,%PTS2PT,%PTS2PT MR,%PTS3PT,%PTSFBPs,%PTSFT,%PTSOffTO,%PTSPITP,2FGM%AST,2FGM%UAST,3FGM%AST,3FGM%UAST,FGM%AST,FGM%UAST
331,Max Strus,MIA,25,39,14,25,13.0,20.9,79.1,29.7,0.0,63.6,13.6,6.7,16.1,29.7,68.6,31.4,98.0,2.0,85.9,14.1
333,Tyler Johnson,BKN,29,39,29,10,17.5,27.9,72.1,22.9,6.7,68.6,18.6,8.5,8.6,16.2,62.5,37.5,95.8,4.2,84.7,15.3
334,Gorgui Dieng,SAS,31,38,14,24,14.5,57.1,42.9,42.6,6.2,34.9,8.5,22.5,14.3,36.4,60.0,40.0,96.7,3.3,72.9,27.1
336,Patrick Patterson,LAC,32,38,26,12,15.3,32.1,67.9,32.5,8.1,60.9,8.1,6.6,13.2,24.4,65.6,34.4,97.5,2.5,83.3,16.7
337,Jusuf Nurkic,POR,26,37,22,15,23.8,91.0,9.0,75.0,1.4,8.5,5.0,16.5,12.0,73.6,71.1,28.9,91.7,8.3,72.5,27.5
338,KZ Okpala,MIA,22,37,22,15,12.1,47.9,52.1,52.2,2.2,39.1,9.8,8.7,19.6,50.0,66.7,33.3,100.0,0.0,77.8,22.2
339,Malik Beasley,MIN,24,37,8,29,32.8,46.5,53.5,37.6,7.2,53.0,15.3,9.4,19.2,30.4,63.2,36.8,87.5,12.5,75.0,25.0
341,Maurice Harkless,SAC,28,37,16,21,20.9,49.1,50.9,47.4,6.2,35.6,9.8,17.0,19.1,41.2,71.7,28.3,91.3,8.7,78.3,21.7
342,Nemanja Bjelica,MIA,33,37,16,21,16.1,56.6,43.4,51.2,1.7,33.5,13.2,15.3,11.2,49.6,64.5,35.5,88.9,11.1,71.9,28.1
343,Patrick Beverley,LAC,32,37,25,12,22.5,35.9,64.1,26.6,1.4,60.4,11.5,13.0,11.2,25.2,37.8,62.2,92.9,7.1,71.0,29.0
345,Anthony Davis,LAL,28,36,23,13,32.3,83.7,16.3,70.0,16.3,9.9,8.4,20.1,12.7,53.7,57.5,42.5,96.2,3.8,60.8,39.2
346,Austin Rivers,DEN,28,36,20,16,23.5,39.2,60.8,34.4,3.5,57.9,9.8,7.7,22.1,30.9,28.6,71.4,76.4,23.6,53.8,46.2
347,Chimezie Metu,SAC,24,36,14,22,13.6,79.3,20.7,69.0,12.4,17.3,11.5,13.7,10.6,56.6,73.1,26.9,92.3,7.7,75.8,24.2
348,Danuel House Jr.,HOU,28,36,8,28,25.9,42.6,57.4,35.6,4.4,51.4,11.4,13.0,27.0,31.1,64.3,35.7,81.5,18.5,72.7,27.3
349,Derrick White,SAS,26,36,18,18,29.5,46.4,53.6,36.9,4.3,45.6,9.8,17.5,14.8,32.5,48.0,52.0,86.9,13.1,65.6,34.4
350,Hassan Whiteside,SAC,32,36,16,20,15.2,99.6,0.4,86.0,8.2,0.0,2.7,14.0,12.3,77.8,72.2,27.8,0.0,0.0,72.2,27.8
351,Jeremy Lamb,IND,29,36,16,20,21.3,53.6,46.4,37.5,8.3,43.0,10.5,19.5,13.2,29.2,52.9,47.1,82.7,17.3,65.8,34.2
353,D.J. Wilson,HOU,25,35,13,22,12.4,48.2,51.8,41.5,8.7,49.2,6.0,9.3,11.5,32.8,76.3,23.7,93.3,6.7,83.8,16.2
355,Kevin Durant,BKN,32,35,23,12,33.1,68.7,31.3,50.7,19.3,27.0,10.8,22.3,11.9,31.4,47.7,52.3,64.7,35.3,52.2,47.8
356,Larry Nance Jr.,CLE,28,35,13,22,31.2,58.1,41.9,53.2,5.5,37.6,7.0,9.2,17.4,47.7,74.7,25.3,95.1,4.9,81.3,18.8
357,Mike Muscala,OKC,29,35,15,20,18.4,31.1,68.9,30.1,7.7,60.2,6.5,9.7,13.9,22.4,76.5,23.5,97.1,2.9,88.2,11.8
358,Shai Gilgeous-Alexander,OKC,22,35,16,19,33.7,69.9,30.1,52.0,4.3,25.7,5.4,22.3,10.1,47.7,7.4,92.6,29.6,70.4,12.9,87.1
359,Jarrett Culver,MIN,22,34,7,27,14.7,68.5,31.5,62.2,1.1,21.7,12.2,16.1,18.3,61.1,58.9,41.1,100.0,0.0,66.7,33.3
360,Justin Jackson,MIL,26,34,12,22,17.0,47.1,52.9,43.3,6.5,44.1,7.8,12.6,15.5,36.7,71.7,28.3,80.6,19.4,75.3,24.7
362,Troy Brown Jr.,CHI,21,34,10,24,15.4,51.4,48.6,49.7,8.7,41.0,16.1,9.3,18.6,41.0,60.0,40.0,100.0,0.0,74.2,25.8
369,Ty Jerome,OKC,23,33,7,26,23.9,41.5,58.5,32.3,2.8,60.3,2.5,7.4,10.2,29.5,22.8,77.2,81.7,18.3,55.5,44.5
370,Victor Oladipo,MIA,29,33,13,20,32.7,58.5,41.5,48.2,6.7,35.9,13.2,15.9,16.9,41.4,35.7,64.3,65.4,34.6,45.5,54.5
372,Brodric Thomas,CLE,24,32,6,26,12.5,45.4,54.6,36.8,6.4,38.4,15.2,24.8,26.4,30.4,47.8,52.2,81.3,18.8,61.5,38.5
374,Naji Marshall,NOP,23,32,14,18,21.9,60.3,39.7,43.1,2.4,35.4,15.0,21.5,16.3,40.7,54.7,45.3,96.6,3.4,69.5,30.5
375,Nic Claxton,BKN,22,32,23,9,18.6,96.6,3.4,84.0,0.0,1.4,16.5,14.6,18.9,84.0,75.3,24.7,100.0,0.0,75.6,24.4
376,Tyler Cook,DET,23,32,11,21,13.7,98.1,1.9,87.2,0.0,1.9,9.0,10.9,12.8,87.2,69.1,30.9,100.0,0.0,69.6,30.4
378,DaQuan Jeffries,SAS,23,31,6,25,15.9,44.2,55.8,47.2,6.3,47.2,12.6,5.6,5.5,40.9,60.0,40.0,95.0,5.0,74.0,26.0
379,Dylan Windler,CLE,24,31,11,20,16.5,40.8,59.2,38.5,2.5,48.4,9.3,13.1,18.6,36.0,54.8,45.2,96.2,3.8,73.7,26.3
382,Michael Carter-Williams,ORL,29,31,12,19,25.8,77.4,22.6,65.7,3.6,16.4,12.0,17.9,16.4,62.0,34.4,65.6,86.7,13.3,41.9,58.1
383,Mitchell Robinson,NYK,23,31,15,16,27.5,100.0,0.0,89.8,0.0,0.0,2.3,10.2,7.8,89.8,62.6,37.4,0.0,0.0,62.6,37.4
386,David Nwaba,HOU,28,30,8,22,22.6,71.1,28.9,64.5,0.0,18.5,21.7,17.0,25.7,64.5,56.2,43.8,100.0,0.0,63.2,36.8
387,George Hill,PHI,35,30,16,14,22.4,59.4,40.6,49.0,8.4,35.6,5.7,15.4,11.9,40.6,45.3,54.7,80.6,19.4,56.8,43.2
390,Nico Mannion,GSW,20,30,17,13,12.1,47.4,52.6,27.6,3.3,53.7,15.4,18.7,15.4,24.4,35.3,64.7,72.7,27.3,56.4,43.6
393,Trevor Ariza,MIA,36,30,17,13,28.0,40.7,59.3,34.8,0.7,53.2,17.7,12.0,18.1,34.0,77.6,22.4,94.0,6.0,85.9,14.1
396,Al Horford,BOS,35,28,11,17,27.9,57.8,42.2,53.3,12.1,42.2,2.5,4.5,12.8,41.2,56.6,43.4,92.9,7.1,69.1,30.9
398,Otto Porter Jr.,ORL,28,28,12,16,21.7,54.2,45.8,43.5,13.3,43.2,10.3,13.3,11.8,30.3,61.0,39.0,97.4,2.6,75.5,24.5
399,Avery Bradley,HOU,30,27,6,21,22.3,40.9,59.1,35.8,5.8,57.2,10.4,7.0,12.7,30.1,71.0,29.0,93.9,6.1,82.8,17.2
400,E'Twaun Moore,PHX,32,27,20,7,14.4,71.1,28.9,66.2,10.5,24.8,3.0,9.0,15.8,55.6,43.2,56.8,90.9,9.1,52.7,47.3
401,Eric Gordon,HOU,32,27,10,17,29.2,42.8,57.2,37.4,0.0,43.0,6.4,19.6,13.9,37.4,31.1,68.9,75.4,24.6,50.3,49.7
402,Jahlil Okafor,DET,25,27,5,22,12.9,91.2,8.8,84.1,5.5,4.1,3.4,11.8,10.3,78.6,47.5,52.5,100.0,0.0,49.2,50.8
406,Cam Reddish,ATL,21,26,10,16,28.9,52.1,47.9,43.2,4.1,33.9,8.6,22.9,17.8,39.0,60.3,39.7,93.9,6.1,71.9,28.1
407,Justise Winslow,MEM,25,26,13,13,19.5,74.3,25.7,71.9,10.1,16.9,26.4,11.2,19.1,61.8,51.6,48.4,100.0,0.0,58.1,41.9
408,Kevin Porter Jr.,HOU,21,26,4,22,32.1,56.1,43.9,49.2,8.4,34.8,10.4,16.0,16.5,40.8,17.9,82.1,40.0,60.0,25.0,75.0
409,Killian Hayes,DET,19,26,6,20,25.8,64.2,35.8,58.0,9.1,34.1,5.1,7.9,14.2,48.9,23.5,76.5,85.0,15.0,40.8,59.2
410,LaMarcus Aldridge,BKN,35,26,15,11,25.9,73.0,27.0,61.9,37.5,26.4,2.6,11.7,9.9,24.4,68.8,31.2,96.8,3.2,75.0,25.0
414,Chandler Hutchison,WAS,25,25,11,14,13.8,78.6,21.4,57.9,3.7,22.4,9.3,19.7,7.5,54.2,87.1,12.9,100.0,0.0,89.7,10.3
415,Kevin Love,CLE,32,25,7,18,24.9,38.1,61.9,30.2,7.9,56.1,3.6,13.7,11.5,22.3,60.9,39.1,89.5,10.5,76.7,23.3
416,Abdel Nader,PHX,27,24,16,8,14.8,62.9,37.1,48.8,0.0,33.8,11.9,17.4,13.1,48.8,71.8,28.2,100.0,0.0,80.7,19.3
417,Anthony Lamb,HOU,23,24,3,21,17.3,39.8,60.2,34.6,0.0,51.9,5.3,13.5,5.3,34.6,52.2,47.8,100.0,0.0,76.1,23.9
419,Al-Farouq Aminu,CHI,30,23,5,18,18.9,62.6,37.4,58.8,11.8,23.5,10.8,17.7,9.8,47.1,46.7,53.3,87.5,12.5,55.3,44.7
420,De'Andre Hunter,ATL,23,23,12,11,29.5,61.7,38.3,51.7,14.5,27.0,7.3,21.3,13.1,37.2,62.9,37.1,90.3,9.7,70.0,30.0
421,Dennis Smith Jr.,DET,23,23,7,16,18.3,60.0,40.0,50.6,11.7,37.0,7.8,12.4,12.3,39.0,23.1,76.9,52.6,47.4,32.8,67.2
422,Ed Davis,MIN,32,23,5,18,13.0,100.0,0.0,79.2,0.0,0.0,0.0,20.8,14.6,79.2,36.8,63.2,0.0,0.0,36.8,63.2
423,Glenn Robinson III,SAC,27,23,9,14,16.1,55.6,44.4,43.0,1.7,39.7,5.0,17.3,5.8,41.3,61.5,38.5,100.0,0.0,76.2,23.8
425,Trey Lyles,SAS,25,23,10,13,15.6,55.6,44.4,50.4,3.5,36.5,10.4,13.1,22.6,47.0,69.0,31.0,100.0,0.0,79.1,20.9
428,Josh Hall,OKC,20,21,2,19,16.0,62.6,37.4,60.5,4.7,14.0,11.6,25.5,19.8,55.8,46.2,53.8,100.0,0.0,53.3,46.7
430,Oshae Brissett,IND,23,21,10,11,24.7,48.3,51.7,34.9,0.0,43.2,19.2,21.9,17.5,34.9,72.5,27.5,97.0,3.0,83.6,16.4
434,Armoni Brooks,HOU,23,20,3,17,26.0,18.2,81.8,16.1,0.9,80.7,7.6,3.2,15.7,15.2,72.2,27.8,85.0,15.0,82.1,17.9
437,Freddie Gillespie,TOR,24,20,7,13,19.6,100.0,0.0,79.3,3.6,0.0,3.6,20.7,12.6,75.7,68.2,31.8,0.0,0.0,68.2,31.8
439,Jaylen Hoard,OKC,22,19,1,18,16.8,87.5,12.5,75.9,1.7,0.0,9.5,24.1,15.5,74.1,63.6,36.4,0.0,0.0,63.6,36.4
448,Romeo Langford,BOS,21,18,9,9,15.7,69.5,30.5,57.1,0.0,26.8,19.6,16.1,7.1,57.1,37.5,62.5,100.0,0.0,52.4,47.6
452,Jerome Robinson,WAS,24,17,5,12,17.9,55.8,44.2,41.0,21.7,39.8,6.0,19.2,26.5,19.3,52.9,47.1,100.0,0.0,71.4,28.6
455,Dewayne Dedmon,MIA,31,16,11,5,13.2,92.3,7.7,79.6,1.8,2.7,1.8,17.7,11.5,77.9,68.9,31.1,100.0,0.0,69.6,30.4
456,Rodney McGruder,DET,29,16,3,13,12.1,65.7,34.3,57.1,8.8,36.3,18.7,6.6,15.4,48.4,46.2,53.8,100.0,0.0,62.2,37.8
463,Jordan Bone,ORL,23,14,2,12,14.0,40.7,59.3,46.4,25.0,53.6,8.9,0.0,10.7,21.4,15.4,84.6,50.0,50.0,30.4,69.6
466,Donta Hall,ORL,23,13,3,10,13.8,100.0,0.0,68.5,0.0,0.0,12.3,31.5,13.7,68.5,72.0,28.0,0.0,0.0,72.0,28.0
467,Ignas Brazdeikis,ORL,22,13,3,10,19.1,66.3,33.7,52.7,6.6,36.3,2.2,11.0,19.8,46.2,54.2,45.8,90.9,9.1,65.7,34.3
468,Jabari Parker,BOS,26,13,4,9,12.7,80.0,20.0,77.8,16.7,8.3,8.3,13.9,8.3,61.1,64.3,35.7,100.0,0.0,66.7,33.3
470,Jalen Harris,TOR,22,13,3,10,13.2,50.0,50.0,39.6,8.3,53.1,6.3,7.3,16.7,31.3,26.3,73.7,88.2,11.8,55.6,44.4
471,Justin Patton,HOU,24,13,1,12,19.0,51.4,48.6,57.1,5.7,38.6,2.9,4.3,14.3,51.4,70.0,30.0,100.0,0.0,79.3,20.7
472,Matthew Dellavedova,CLE,30,13,4,9,17.2,55.4,44.6,55.6,0.0,33.3,0.0,11.1,11.1,55.6,40.0,60.0,75.0,25.0,50.0,50.0
473,Mike James,BKN,30,13,9,4,18.2,66.3,33.7,46.0,16.0,33.0,12.0,21.0,10.0,30.0,17.4,82.6,45.5,54.5,26.5,73.5
480,Jaren Jackson Jr.,MEM,21,11,4,7,23.5,52.0,48.0,45.6,1.3,32.3,12.0,22.1,8.9,44.3,66.7,33.3,100.0,0.0,77.4,22.6
484,Gabriel Deck,OKC,26,10,1,9,21.2,77.6,22.4,71.4,14.3,7.1,9.5,21.5,9.5,57.1,40.0,60.0,100.0,0.0,43.8,56.3
487,Thomas Bryant,WAS,23,10,2,8,27.1,76.9,23.1,69.9,2.8,18.9,10.5,11.2,21.7,67.1,72.0,28.0,100.0,0.0,76.3,23.7
489,Yogi Ferrell,LAC,28,10,4,6,13.7,50.9,49.1,39.3,7.1,48.2,7.1,12.5,12.5,32.1,18.2,81.8,66.7,33.3,40.0,60.0
490,Charlie Brown Jr.,OKC,24,9,1,8,16.9,51.2,48.8,40.0,15.0,37.5,15.0,22.5,17.5,25.0,75.0,25.0,100.0,0.0,84.6,15.4
